trip_id,date,day_of_week,is_weekend,route_id,bus_id,stop_id,stop_sequence,scheduled_hour,scheduled_minute,is_peak_hour,weather,temperature_c,nearby_event,distance_from_prev_stop_km,traffic_level,delay_minutes,passengers_boarding,passengers_alighting,onboard_after_stop,bus_capacity,occupancy_pct,ramp_status,wheelchair_requests,recommended_action
trip-000001,2026-06-08,0,False,C1,BUS-101,terminal,0,6,0,False,rain,24.4,False,0.0,low,0.4,9,0,9,40,0.225,deployed,0,on_schedule
trip-000001,2026-06-08,0,False,C1,BUS-101,dpulze,1,6,6,False,rain,24.4,False,0.603,medium,2.2,6,4,11,40,0.275,deployed,0,on_schedule
trip-000001,2026-06-08,0,False,C1,BUS-101,mmu,2,6,12,False,rain,24.4,False,1.149,medium,5.6,6,4,13,40,0.325,deployed,0,on_schedule
trip-000001,2026-06-08,0,False,C1,BUS-101,cyberia,3,6,18,False,rain,24.4,False,0.522,medium,8.4,4,3,14,40,0.35,deployed,0,reroute_check
trip-000001,2026-06-08,0,False,C1,BUS-101,shaftsbury,4,6,24,False,rain,24.4,False,2.512,medium,8.4,5,4,15,40,0.375,deployed,0,reroute_check
trip-000002,2026-06-08,0,False,C1,BUS-102,terminal,0,6,15,False,rain,24.4,False,0.0,medium,2.8,6,0,6,40,0.15,deployed,0,on_schedule
trip-000002,2026-06-08,0,False,C1,BUS-102,dpulze,1,6,21,False,rain,24.4,False,0.603,medium,4.2,6,1,11,40,0.275,deployed,0,on_schedule
trip-000002,2026-06-08,0,False,C1,BUS-102,mmu,2,6,27,False,rain,24.4,False,1.149,medium,6.7,7,3,15,40,0.375,deployed,0,on_schedule
trip-000002,2026-06-08,0,False,C1,BUS-102,cyberia,3,6,33,False,rain,24.4,False,0.522,medium,7.0,7,2,20,40,0.5,deployed,0,on_schedule
trip-000002,2026-06-08,0,False,C1,BUS-102,shaftsbury,4,6,39,False,rain,24.4,False,2.512,medium,7.6,5,8,17,40,0.425,deployed,0,on_schedule
trip-000003,2026-06-08,0,False,C1,BUS-103,terminal,0,6,30,False,rain,24.4,False,0.0,medium,1.3,3,0,3,40,0.075,deployed,0,on_schedule
trip-000003,2026-06-08,0,False,C1,BUS-103,dpulze,1,6,36,False,rain,24.4,False,0.603,medium,5.4,4,1,6,40,0.15,deployed,0,on_schedule
trip-000003,2026-06-08,0,False,C1,BUS-103,mmu,2,6,42,False,rain,24.4,False,1.149,medium,6.3,6,6,6,40,0.15,deployed,0,on_schedule
trip-000003,2026-06-08,0,False,C1,BUS-103,cyberia,3,6,48,False,rain,24.4,False,0.522,medium,7.8,5,0,11,40,0.275,deployed,0,on_schedule
trip-000003,2026-06-08,0,False,C1,BUS-103,shaftsbury,4,6,54,False,rain,24.4,False,2.512,medium,9.3,7,0,18,40,0.45,deployed,0,reroute_check
trip-000004,2026-06-08,0,False,C1,BUS-101,terminal,0,6,45,False,rain,24.4,False,0.0,medium,0.0,7,0,7,40,0.175,deployed,1,on_schedule
trip-000004,2026-06-08,0,False,C1,BUS-101,dpulze,1,6,51,False,rain,24.4,False,0.603,medium,3.2,5,1,11,40,0.275,deployed,0,on_schedule
trip-000004,2026-06-08,0,False,C1,BUS-101,mmu,2,6,57,False,rain,24.4,False,1.149,medium,8.2,6,6,11,40,0.275,deployed,0,reroute_check
trip-000004,2026-06-08,0,False,C1,BUS-101,cyberia,3,7,3,True,rain,24.4,False,0.522,high,13.1,11,3,19,40,0.475,deployed,0,reroute_check
trip-000004,2026-06-08,0,False,C1,BUS-101,shaftsbury,4,7,9,True,rain,24.4,False,2.512,high,17.8,10,3,26,40,0.65,deployed,0,reroute_check
trip-000005,2026-06-08,0,False,C1,BUS-102,terminal,0,7,0,True,rain,24.4,False,0.0,high,6.4,17,0,17,40,0.425,deployed,0,on_schedule
trip-000005,2026-06-08,0,False,C1,BUS-102,dpulze,1,7,6,True,rain,24.4,False,0.603,high,12.4,19,2,34,40,0.85,deployed,1,monitor
trip-000005,2026-06-08,0,False,C1,BUS-102,mmu,2,7,12,True,rain,24.4,False,1.149,high,16.8,18,5,47,40,1.175,deployed,0,add_bus
trip-000005,2026-06-08,0,False,C1,BUS-102,cyberia,3,7,18,True,rain,24.4,False,0.522,high,22.8,19,19,47,40,1.175,deployed,0,add_bus
